,TITLE,LINK,ISSN
42,International Journal of Biostatistics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=42&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,2194-573X
43,Mathematical Biosciences and Engineering,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=43&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1547-1063
44,THEORY IN BIOSCIENCES,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=44&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1431-7613
45,Statistics in Biopharmaceutical Research,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=45&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1946-6315
46,Hokkaido Mathematical Journal,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=46&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0385-4035
47,Wiley Interdisciplinary Reviews-Computational Molecular Science,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=47&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1759-0876
48,Journal of Medical Imaging and Health Informatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=48&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,2156-7018
49,BioData Mining,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=49&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1756-0381
50,Statistical Applications in Genetics and Molecular Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=50&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,2194-6302
51,Journal of Bioinformatics and Computational Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=51&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0219-7200
52,Interdisciplinary Sciences-Computational Life Sciences,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=52&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1913-2751
53,IEEE Journal of Biomedical and Health Informatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=53&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,2168-2194
54,Research Synthesis Methods,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=54&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1759-2879
55,Frontiers in Neuroinformatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=55&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1662-5196
56,Journal of Biomedical Semantics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=56&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,2041-1480
57,Journal of Biological Dynamics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=57&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1751-3758
58,Computational Intelligence and Neuroscience,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=58&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1687-5265
59,GENETIC EPIDEMIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=59&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0741-0395
